Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S1112,18,71.0,43.4,62.2,3.8,0
S1113,16,78.8,64.4,73.6,4.4,1
S1114,17,72.0,57.8,73.8,6.2,1
S1115,18,90.9,64.2,74.6,7.4,1
S1116,15,68.4,81.5,61.5,4.7,1
S1117,16,57.7,68.2,72.4,4.1,1
S1118,18,65.1,75.6,78.3,5.0,1
S1119,15,78.7,59.3,63.7,6.2,0
S1120,18,48.3,46.7,58.8,2.1,1
S1121,15,50.2,57.2,81.1,0.4,1
S1122,16,55.4,46.7,57.1,3.9,1
S1123,17,28.4,79.8,72.6,2.6,1
S1124,15,62.1,69.1,64.3,4.0,1
S1125,18,31.7,65.3,42.9,4.7,0
S1126,16,60.8,75.3,78.5,4.1,1
S1127,15,73.0,29.7,31.9,7.9,1
S1128,18,52.8,66.2,41.2,5.7,1
S1129,18,85.2,39.7,71.3,5.6,1
S1130,18,38.1,57.9,71.3,6.2,0
S1131,15,77.9,53.6,57.3,2.7,1
S1132,15,70.1,67.3,66.8,7.1,1
S1133,15,34.3,61.2,34.6,4.8,0
S1134,17,100.0,76.8,73.5,6.3,1
S1135,15,59.0,49.6,68.0,2.9,1
S1136,15,46.8,67.9,64.5,1.9,0
S1137,15,38.9,60.3,65.3,6.6,0
S1138,17,56.7,35.1,70.9,5.8,1
S1139,15,58.1,45.1,64.7,3.2,1
S1140,18,61.5,55.9,42.5,3.3,1
S1141,15,55.5,73.6,91.4,7.3,0
S1142,18,69.5,64.5,79.4,2.6,0
S1143,18,54.2,41.7,49.6,8.3,0
S1144,18,31.0,56.0,60.9,3.2,1
S1145,17,57.8,86.2,62.2,6.3,1
S1146,17,24.5,59.6,77.9,4.3,0
S1147,17,65.3,53.4,39.1,6.2,1
S1148,15,45.3,64.9,59.0,3.9,1
S1149,18,62.5,68.7,43.9,4.7,1
S1150,17,79.7,51.6,61.6,5.1,1
S1151,17,45.8,65.0,59.3,3.0,0
S1152,15,75.9,53.4,66.0,6.5,1
S1153,17,53.5,68.1,57.7,4.0,1
S1154,15,86.3,60.4,56.0,4.5,1
S1155,16,54.5,64.7,72.4,3.0,1
S1156,17,47.4,47.4,70.5,0.0,1
S1157,16,70.3,46.5,71.6,4.6,1
S1158,15,53.5,71.2,62.9,9.8,1
S1159,18,47.4,56.9,58.1,6.6,1
S1160,17,52.8,62.0,63.6,5.0,1
S1161,15,59.3,53.7,71.0,4.5,1
S1162,18,80.1,70.6,38.9,5.0,1
S1163,18,31.0,49.5,69.7,6.1,0
S1164,16,60.3,56.1,68.7,2.6,1
S1165,15,69.4,69.0,65.7,7.2,1
S1166,18,62.9,74.4,63.2,6.4,1
S1167,17,79.6,50.7,34.2,6.4,1
S1168,17,58.9,85.4,59.7,5.9,1
S1169,16,57.2,62.4,86.5,5.0,1
S1170,18,68.9,43.4,65.2,6.3,1
S1171,15,61.5,63.2,61.3,6.2,1
S1172,17,54.1,52.6,65.2,4.3,1
S1173,18,67.7,64.1,69.3,3.9,1
S1174,18,50.2,57.4,72.9,5.2,1
S1175,16,50.8,59.0,62.3,8.1,1
S1176,17,52.1,45.2,70.1,2.5,0
S1177,17,80.3,71.9,85.1,2.1,1
S1178,15,11.7,41.8,77.1,5.3,1
S1179,17,65.9,42.5,93.1,5.1,1
S1180,15,60.5,63.1,57.1,5.3,1
S1181,17,34.8,80.4,85.1,5.5,1
S1182,16,64.6,53.1,55.5,4.6,1
S1183,17,67.1,67.8,69.2,8.0,0
S1184,15,68.8,73.0,73.8,1.8,0
S1185,15,20.2,69.4,58.9,3.3,1
S1186,16,80.5,53.6,66.1,4.8,1
S1187,17,48.9,42.7,75.9,1.7,1
S1188,17,70.3,27.1,56.5,4.6,1
S1189,16,71.1,54.3,85.0,8.3,1
S1190,17,46.8,74.5,48.4,5.0,1
S1191,17,69.9,42.3,88.3,5.5,0
S1192,15,54.2,67.8,77.0,2.5,1
S1193,17,28.9,44.7,63.9,3.8,0
S1194,17,77.5,59.5,60.2,4.2,1
S1195,16,48.4,67.9,58.9,4.4,1
S1196,16,47.2,48.8,63.4,7.6,1
S1197,18,54.0,60.4,64.4,6.1,0
S1198,15,64.1,52.2,80.1,2.8,1
S1199,17,59.1,67.9,88.6,5.5,0
S1200,17,68.2,61.3,67.4,6.0,0
S1201,18,39.9,58.8,54.9,7.3,0
S1202,17,48.9,79.8,58.5,8.2,1
S1203,15,58.3,67.3,62.8,3.0,1
S1204,18,88.5,48.3,52.6,3.4,0
S1205,15,58.3,56.8,50.9,2.5,1
S1206,18,76.3,56.9,90.2,4.5,1
S1207,18,60.6,59.1,68.6,5.9,1
S1208,16,52.7,93.3,55.0,7.0,1
S1209,15,56.3,63.2,74.8,4.8,1
S1210,17,57.5,29.5,50.9,4.4,0
S1211,17,69.1,50.4,51.8,5.3,1
S1212,15,80.6,30.9,55.4,3.3,1
S1213,17,65.4,53.4,84.9,9.2,1
S1214,17,77.8,30.2,62.0,1.8,1
S1215,15,45.5,45.8,35.7,5.4,0
S1216,18,53.8,36.7,79.5,9.0,1
S1217,15,49.1,63.4,61.3,5.0,1
S1218,18,64.7,58.0,42.8,4.6,1
S1219,17,54.6,62.2,61.2,4.3,1
S1220,17,70.9,56.5,71.3,4.6,1
S1221,17,46.0,38.5,69.8,7.7,1
S1222,16,60.6,65.2,86.6,0.6,1
S1223,18,70.3,84.9,54.8,8.1,1
S1224,16,29.0,63.7,65.6,2.2,0
S1225,16,91.8,52.0,56.6,4.5,0
S1226,15,55.8,38.0,46.5,4.1,0
S1227,16,29.6,45.3,75.6,6.2,1
S1228,15,62.4,64.3,70.6,1.8,1
S1229,15,60.5,73.0,68.4,5.9,0
S1230,16,58.8,61.7,70.1,9.0,1
S1231,18,74.9,69.2,56.8,2.3,1
S1232,18,71.2,67.9,52.9,5.4,1
S1233,18,64.5,65.1,65.5,3.7,0
S1234,18,66.8,48.8,78.9,5.9,1
S1235,18,58.4,60.4,84.3,5.0,1
S1236,16,86.6,46.1,74.5,3.7,1
S1237,16,37.8,58.2,65.4,6.0,1
S1238,17,62.1,62.6,68.2,8.6,1
S1239,18,61.0,81.5,65.1,4.6,1
S1240,16,72.2,39.7,52.7,6.4,1
S1241,17,47.3,64.7,65.3,2.4,1
S1242,18,33.8,78.7,49.0,3.1,1
S1243,15,62.4,68.6,63.5,5.9,1
S1244,17,64.2,69.7,84.6,8.0,1
S1245,16,82.3,66.2,74.9,5.7,0
S1246,15,40.9,76.2,53.9,4.4,1
S1247,15,77.3,42.8,64.1,5.0,1
S1248,15,95.5,38.6,55.0,2.5,1
S1249,17,54.3,57.9,64.2,6.2,1
S1250,16,40.6,27.7,77.5,6.8,1
S1251,15,53.9,75.2,72.8,4.1,1
S1252,18,60.2,75.1,94.8,4.1,1
S1253,15,68.5,51.9,79.3,5.5,1
S1254,15,51.1,52.8,67.4,4.1,1
S1255,17,83.3,57.0,73.1,4.9,1
S1256,17,43.3,58.7,62.6,9.2,0
S1257,16,33.9,59.8,51.5,4.5,1
S1258,18,76.6,65.8,80.7,4.3,1
S1259,17,25.9,55.6,77.1,3.7,1
S1260,15,56.9,71.2,62.1,6.5,1
S1261,16,100.0,64.2,68.3,4.6,0
S1262,15,59.8,49.5,79.9,3.7,1
S1263,15,43.2,76.7,75.2,7.6,1
S1264,17,59.1,39.0,47.4,7.8,1
S1265,16,59.2,56.7,67.9,3.8,1
S1266,18,62.4,71.5,63.0,1.3,1
S1267,18,69.9,47.9,78.4,7.0,1
S1268,17,44.4,62.3,77.4,3.6,1
S1269,17,85.3,65.6,80.8,6.6,1
S1270,16,63.7,46.0,51.6,1.1,1
S1271,18,70.9,57.0,55.6,6.8,1
S1272,18,50.6,55.8,78.4,2.6,1
S1273,18,79.3,50.3,57.9,6.5,0
S1274,15,56.1,90.2,46.7,5.0,1
S1275,18,64.2,47.3,71.4,3.1,1
S1276,15,46.0,72.1,58.4,4.2,0
S1277,16,45.0,52.5,86.5,6.4,1
S1278,15,70.3,42.8,68.6,5.2,1
S1279,16,53.3,59.4,66.9,6.2,0
S1280,18,47.2,67.1,60.6,9.0,0
S1281,18,50.4,70.9,84.1,1.9,1
S1282,16,70.5,79.9,69.3,8.2,1
S1283,17,50.6,99.2,60.1,5.2,1
S1284,16,58.2,61.5,55.5,3.2,0
S1285,17,60.2,48.7,64.1,2.3,0
S1286,15,31.2,64.3,53.3,4.6,1
S1287,15,37.9,54.3,77.3,6.8,0
S1288,15,65.0,71.0,43.3,4.7,0
S1289,18,48.9,39.8,63.3,8.0,1
S1290,15,75.9,91.2,72.3,2.1,1
S1291,17,74.5,70.0,69.1,5.0,1
S1292,15,70.8,34.4,56.4,2.5,1
S1293,16,87.3,48.1,72.9,5.7,0
S1294,16,58.8,69.4,54.4,6.8,0
S1295,18,69.7,74.5,64.7,4.2,1
S1296,16,51.2,40.2,72.8,0.0,1
S1297,17,96.8,68.0,70.6,5.4,1
S1298,15,89.8,30.7,56.9,5.9,0
S1299,18,60.2,56.7,79.4,5.8,1
S1300,15,65.8,73.6,66.0,7.5,1
S1301,15,80.4,50.3,73.9,2.9,1
S1302,17,57.8,36.9,83.3,6.4,1
S1303,16,50.2,60.0,78.4,7.4,1
S1304,16,73.1,49.5,78.4,1.4,0
S1305,15,61.2,66.8,67.3,5.6,1
S1306,18,62.7,45.6,74.5,4.0,1
S1307,16,47.5,47.2,67.6,4.8,1
S1308,18,34.2,29.7,50.5,5.7,0
S1309,16,63.5,60.4,68.6,4.0,1
S1310,18,73.6,55.7,68.1,3.6,1
S1311,17,56.6,41.4,72.0,5.1,0
S1312,18,81.5,60.7,63.5,2.8,1
S1313,17,49.4,72.4,55.9,2.8,1
S1314,17,44.2,55.0,72.9,6.4,1
S1315,18,59.0,61.8,49.2,2.7,0
S1316,17,58.8,61.8,82.5,6.3,1
S1317,15,71.5,41.1,62.2,5.9,0
S1318,17,48.4,86.8,67.9,1.5,1
S1319,16,80.5,51.4,71.7,3.6,1
S1320,18,89.5,67.2,72.1,7.4,1
S1321,15,59.4,68.8,48.1,3.0,0
S1322,18,78.7,56.0,74.9,4.1,1
S1323,16,44.2,66.5,68.6,5.9,1
S1324,16,76.1,61.4,57.4,6.6,1
S1325,16,75.7,38.2,56.0,4.5,1
S1326,17,73.0,53.3,61.0,3.8,1
S1327,17,59.8,49.4,49.4,7.8,0
S1328,18,15.7,51.5,85.7,8.5,1
S1329,18,50.4,39.7,82.8,7.0,1
S1330,15,50.6,73.8,70.4,5.2,1
S1331,15,45.3,80.4,62.3,3.4,1
S1332,18,61.8,71.7,62.6,3.3,1
S1333,17,53.7,75.8,74.1,6.0,1
S1334,16,47.6,53.2,86.1,5.8,1
S1335,18,44.1,49.1,58.2,7.8,1
S1336,15,49.3,47.1,51.6,6.3,1
S1337,17,76.8,67.0,83.6,2.0,1
S1338,18,50.1,61.2,43.6,7.1,0
S1339,18,52.3,56.9,52.9,3.0,1
S1340,17,53.1,76.1,62.0,4.2,1
S1341,18,65.1,63.7,46.3,5.5,1
S1342,17,66.8,46.3,78.3,9.0,1
S1343,16,14.3,48.5,75.3,11.2,0
S1344,17,75.3,67.5,58.1,6.2,1
S1345,17,81.5,72.6,80.4,4.6,1
S1346,17,44.2,65.7,82.4,6.1,0
S1347,18,45.4,84.6,63.6,6.8,1
S1348,18,53.2,80.9,59.6,4.4,0
S1349,17,48.7,64.2,92.1,8.6,1
S1350,18,63.4,46.3,73.7,5.5,0
S1351,15,30.8,39.7,68.1,6.0,1
S1352,15,43.2,52.6,81.4,6.3,0
S1353,18,83.1,68.5,68.6,5.8,1
S1354,18,46.1,83.6,58.9,6.7,1
S1355,17,78.7,63.8,66.0,3.8,1
S1356,16,65.3,74.4,77.5,3.9,0
S1357,18,32.9,54.6,41.1,2.8,0
S1358,15,69.5,66.7,61.5,5.9,1
S1359,17,58.2,69.5,81.6,6.6,1
S1360,18,53.2,30.3,58.9,5.9,0
S1361,15,63.7,52.2,83.6,8.3,1
S1362,15,67.1,71.3,82.0,5.0,1
S1363,16,70.6,61.8,64.2,6.3,0
S1364,17,77.7,41.2,58.2,2.8,1
S1365,17,66.1,24.0,61.6,4.2,1
S1366,16,39.4,52.9,97.0,6.4,1
S1367,16,52.9,57.0,87.5,6.7,1
S1368,17,100.0,45.6,66.5,4.4,1
S1369,17,70.9,60.0,57.7,4.9,1
S1370,18,95.5,65.1,66.4,2.0,1
S1371,18,80.9,67.4,67.9,4.3,1
S1372,16,63.6,25.0,50.1,6.8,1
S1373,18,64.5,39.6,66.0,6.2,1
S1374,15,59.5,53.7,80.9,6.0,0
S1375,18,33.9,66.0,43.4,5.1,1
S1376,18,60.3,64.8,74.9,5.0,1
S1377,15,78.2,64.6,81.5,3.7,1
S1378,16,51.0,52.6,58.3,6.4,1
S1379,15,66.2,53.4,85.3,5.8,1
S1380,18,72.8,47.8,56.7,6.0,0
S1381,16,46.4,68.8,70.3,3.9,0
S1382,18,53.2,45.1,61.3,0.7,1
S1383,15,44.7,69.9,61.3,7.2,1
S1384,15,47.7,60.9,57.6,4.0,0
S1385,18,40.7,57.4,73.4,3.3,1
S1386,17,46.5,48.8,75.2,6.4,0
S1387,17,81.3,39.0,64.2,4.2,1
S1388,15,46.3,48.9,48.7,7.1,0
S1389,15,61.9,53.4,69.8,6.2,1
S1390,17,52.5,24.8,70.1,6.4,1
S1391,17,77.7,55.2,62.4,2.3,1
S1392,18,79.7,70.9,87.4,7.4,1
S1393,18,73.0,65.9,46.2,5.5,1
S1394,17,64.6,51.1,38.4,4.3,1
S1395,18,56.5,58.7,56.2,5.3,1
S1396,18,42.1,50.2,73.5,1.4,1
S1397,16,89.2,60.1,52.3,5.8,0
S1398,18,48.6,79.6,53.2,2.9,1
S1399,15,70.0,71.6,76.4,2.3,1
S1400,18,75.9,65.3,70.6,2.0,1
S1401,18,51.7,51.1,69.5,7.2,1
S1402,17,75.6,68.5,74.4,3.7,1
S1403,15,71.5,34.4,59.9,8.1,1
S1404,18,85.9,54.5,60.5,3.9,1
S1405,18,53.0,66.2,74.7,1.6,1
S1406,16,40.7,68.4,48.9,2.8,1
S1407,18,52.4,67.4,39.3,7.5,1
S1408,18,63.1,62.1,59.8,4.7,1
S1409,16,60.9,55.3,76.2,3.9,1
S1410,17,54.1,65.5,68.1,5.3,1
S1411,18,31.4,44.7,75.3,6.0,1
S1412,16,67.1,46.2,40.8,7.2,0
S1413,15,89.6,58.9,68.8,7.9,1
S1414,17,67.0,60.4,72.8,4.3,1
S1415,15,69.1,32.4,48.8,2.3,1
S1416,15,68.6,64.4,75.3,4.2,1
S1417,16,66.0,68.8,63.7,5.5,0
S1418,18,74.0,56.9,100.0,3.1,1
S1419,16,65.9,91.2,38.9,3.1,1
S1420,16,55.3,48.4,81.4,5.7,1
S1421,16,48.1,52.9,60.3,4.9,0
S1422,16,56.3,52.5,45.6,5.1,1
S1423,17,64.7,56.9,58.7,3.5,1
S1424,18,55.3,53.4,68.3,4.5,1
S1425,15,64.7,38.3,77.4,3.2,1
S1426,15,66.6,50.3,85.7,6.8,1
S1427,18,72.5,56.6,82.1,7.1,1
S1428,15,79.2,75.2,53.4,1.3,1
S1429,18,61.2,88.8,78.6,3.1,1
S1430,15,40.4,76.7,69.7,2.0,1
S1431,16,54.8,47.1,57.1,3.7,0
S1432,15,60.7,48.3,62.5,4.8,0
S1433,18,32.5,55.8,56.5,2.1,0
S1434,18,80.8,83.0,65.4,3.2,1
S1435,18,62.1,55.7,56.2,3.0,1
S1436,18,65.7,39.4,52.7,5.4,0
S1437,18,80.5,51.0,70.7,5.1,1
S1438,17,50.5,68.6,72.5,3.6,0
S1439,17,68.6,67.7,62.7,5.4,1
S1440,15,58.4,55.2,81.4,3.9,1
S1441,18,57.2,67.6,61.9,4.5,1
S1442,15,48.4,26.2,61.4,8.3,0
S1443,18,85.0,59.5,72.9,7.7,0
S1444,18,54.4,70.0,63.4,2.4,1
S1445,17,70.5,46.3,66.0,6.7,1
S1446,17,31.9,46.3,34.8,6.6,1
S1447,16,77.7,31.9,65.2,2.7,1
S1448,17,75.8,80.3,43.1,6.6,1
S1449,16,61.5,47.9,50.3,8.1,0
S1450,16,56.6,61.4,49.0,2.8,1
S1451,16,66.0,66.5,52.5,3.2,1
S1452,16,94.3,79.2,58.4,7.0,1
S1453,16,33.6,55.8,59.2,5.5,0
S1454,15,71.7,50.4,73.0,6.1,1
S1455,17,46.3,60.4,67.7,5.7,0
S1456,16,59.7,76.0,42.2,5.8,1
S1457,18,56.3,55.6,66.0,2.3,1
S1458,17,53.6,44.6,68.8,7.1,1
S1459,17,59.8,36.4,61.1,7.3,0
S1460,16,43.0,40.9,64.3,4.5,1
S1461,15,75.4,70.1,67.3,4.9,1
S1462,16,33.1,53.5,74.2,1.9,0
S1463,15,68.1,49.5,46.1,6.0,0
S1464,18,55.1,48.0,62.1,6.1,1
S1465,17,42.4,59.2,83.1,4.9,1
S1466,18,63.0,54.6,82.0,7.2,0
S1467,15,36.6,54.2,75.2,4.3,1
S1468,15,60.6,76.9,71.4,6.1,1
S1469,18,38.7,79.5,84.9,3.0,1
S1470,15,66.9,35.5,88.0,5.0,1
S1471,18,46.1,62.6,63.5,4.7,0
S1472,17,53.2,47.1,53.4,5.5,0
S1473,18,64.4,54.5,61.8,4.3,1
S1474,17,48.4,62.3,100.0,4.7,0
S1475,18,59.1,55.0,46.2,6.7,1
S1476,15,37.3,61.2,59.4,4.1,1
S1477,18,69.5,67.4,48.0,1.8,1
S1478,15,86.5,62.1,66.5,8.5,1
S1479,18,100.0,48.9,50.6,7.8,1
S1480,18,61.4,49.2,63.7,2.4,1
S1481,16,71.8,37.8,41.6,6.4,1
S1482,15,33.3,46.0,72.4,4.0,1
S1483,16,82.5,85.5,79.7,5.5,1
S1484,15,71.6,46.9,60.4,5.6,1
S1485,16,52.7,41.3,63.4,4.5,1
S1486,17,78.6,62.5,63.0,3.4,1
S1487,18,56.2,56.5,67.2,3.6,1
S1488,15,53.1,55.3,64.5,3.2,0
S1489,15,67.1,77.7,74.2,3.3,0
S1490,18,44.0,65.7,79.8,4.9,1
S1491,15,75.3,50.6,55.2,3.6,0
S1492,15,44.2,52.1,61.3,6.4,0
S1493,16,44.2,51.0,75.8,8.0,1
S1494,15,46.4,70.2,47.9,3.8,1
S1495,17,71.4,53.7,41.4,5.5,0
S1496,17,50.7,32.9,67.7,6.0,0
S1497,18,39.8,57.3,71.0,5.9,1
S1498,15,50.9,36.5,56.3,5.2,0
S1499,18,59.5,88.6,58.1,6.5,1
S1500,17,42.3,44.5,55.9,6.0,1
S1501,15,42.7,55.7,54.6,2.5,1
S1502,15,91.7,61.6,73.3,6.7,1
S1503,18,47.1,54.0,50.8,6.8,1
S1504,17,55.2,53.9,61.8,3.5,0
S1505,15,54.5,63.9,54.1,5.1,1
S1506,18,53.7,79.4,47.5,6.4,1
S1507,17,69.3,68.7,75.4,4.6,1
S1508,18,74.2,78.7,58.8,7.1,1
S1509,16,55.4,43.3,67.3,9.7,0
S1510,15,41.5,62.4,46.9,3.4,1
S1511,16,79.1,60.2,56.1,2.2,1
S1512,17,58.6,62.9,74.1,5.6,1
S1513,16,86.0,77.3,96.0,6.4,1
S1514,16,26.3,54.9,41.3,4.5,1
S1515,17,62.9,52.3,62.6,7.9,1
S1516,18,88.8,65.5,69.9,2.3,1
S1517,16,54.7,33.1,57.6,6.4,1
S1518,18,56.6,54.7,75.2,3.8,0
S1519,16,64.4,56.1,54.6,8.4,1
S1520,18,51.6,45.1,66.8,9.0,1
S1521,17,55.3,72.8,58.7,3.5,0
S1522,16,54.9,43.1,79.6,3.9,0
S1523,17,50.6,56.1,56.9,6.7,1
S1524,16,78.4,62.1,60.8,4.2,0
S1525,17,66.9,76.9,76.3,4.9,1
S1526,17,63.8,57.9,52.7,5.1,1
S1527,16,72.1,71.1,65.8,1.2,1
S1528,16,56.0,67.8,43.1,5.0,1
S1529,16,48.4,59.7,51.9,3.6,1
S1530,15,51.0,42.7,69.6,4.0,1
S1531,18,60.0,37.9,53.1,7.9,0
S1532,15,44.1,59.5,58.5,2.5,0
S1533,15,52.5,50.4,70.9,6.6,1
S1534,17,52.3,70.9,58.0,4.4,1
S1535,16,91.9,68.4,74.9,4.4,1
S1536,18,18.4,55.4,67.6,6.6,0
S1537,17,57.3,41.8,70.2,5.7,0
S1538,15,85.9,65.2,79.9,6.1,1
S1539,16,61.8,43.7,68.8,6.9,1
S1540,17,71.3,47.4,83.5,4.3,1
S1541,16,61.5,44.3,75.9,3.8,1
S1542,17,50.0,56.1,58.7,2.8,1
S1543,16,26.4,74.4,80.5,3.3,1
S1544,15,63.1,57.9,68.2,10.9,1
S1545,18,48.4,51.8,60.3,7.5,0
S1546,15,48.0,36.6,68.3,2.3,1
S1547,18,52.5,65.7,78.3,2.4,0
S1548,16,86.2,47.1,70.5,6.0,1
S1549,17,96.1,59.6,86.9,6.1,1
S1550,15,63.3,53.0,78.0,6.1,1
S1551,18,53.0,69.7,71.3,4.5,1
S1552,15,42.3,55.8,52.7,4.7,0
S1553,18,67.0,57.2,62.8,5.7,0
S1554,15,86.7,64.8,65.9,5.2,1
S1555,18,56.3,87.5,73.4,0.6,1
S1556,18,24.3,70.4,72.6,4.5,0
S1557,16,70.1,56.8,67.0,3.3,1
S1558,18,74.8,58.0,66.4,5.4,0
S1559,16,36.2,50.7,73.6,11.0,0
S1560,18,62.6,44.7,54.7,5.7,1
S1561,17,66.8,50.3,85.3,4.4,1
S1562,17,58.9,47.2,40.4,6.8,1
S1563,17,48.1,67.1,82.5,6.0,1
S1564,18,75.2,43.0,64.5,5.8,1
S1565,16,53.9,76.7,77.0,6.2,1
S1566,16,37.7,68.5,69.4,9.1,1
S1567,18,29.3,58.3,69.2,2.7,0
S1568,17,78.9,58.0,71.7,5.9,1
S1569,17,69.2,50.2,74.7,3.1,1
S1570,16,61.3,61.8,61.1,6.1,1
S1571,17,53.4,73.2,77.4,3.2,1
S1572,15,52.1,48.2,52.0,4.2,1
S1573,16,43.9,36.5,64.9,4.4,1
S1574,17,53.5,67.8,75.0,7.0,1
S1575,16,28.2,62.5,76.9,6.8,1
S1576,15,49.0,42.3,70.5,2.5,0
S1577,16,55.3,47.7,60.3,5.1,1
S1578,16,69.1,46.0,75.8,3.6,1
