study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
9.8,72.0,Yes,59.8,Fail
4.2,71.7,Yes,57.3,Fail
9.9,91.5,Yes,69.6,Fail
10.2,87.4,Yes,64.2,Fail
17.4,87.2,Yes,90.6,Pass
9.4,94.6,Yes,30.0,Fail
10.9,75.3,Yes,84.4,Fail
9.9,85.2,Yes,86.7,Fail
6.5,70.3,Yes,36.9,Fail
13.4,79.9,Yes,62.9,Fail
12.3,73.0,No,62.4,Pass
12.4,76.5,No,46.9,Fail
7.3,83.9,No,56.3,Fail
14.2,62.7,No,51.3,Fail
5.8,100.0,Yes,94.3,Pass
11.8,59.9,Yes,82.0,Pass
16.6,56.8,Yes,87.1,Pass
7.0,92.4,No,78.8,Pass
8.3,86.9,No,51.1,Fail
10.3,84.4,Yes,60.1,Pass
8.5,84.4,Yes,75.3,Pass
5.3,74.8,Yes,49.7,Fail
10.2,61.5,Yes,78.7,Pass
6.8,76.1,No,64.4,Pass
11.4,64.8,No,62.4,Fail
7.2,89.6,Yes,78.7,Fail
14.6,72.8,No,74.7,Fail
7.7,62.6,No,62.6,Fail
9.0,70.2,Yes,85.4,Pass
12.4,81.2,Yes,51.8,Fail
6.3,66.5,Yes,77.2,Fail
10.7,62.7,Yes,76.9,Fail
13.9,78.7,Yes,63.4,Pass
5.2,78.7,Yes,72.9,Fail
10.6,67.4,Yes,49.2,Pass
10.8,67.9,Yes,81.9,Pass
12.3,78.5,No,65.2,Fail
6.3,53.3,Yes,60.2,Fail
6.0,53.9,Yes,83.7,Fail
11.6,64.2,Yes,57.4,Pass
10.9,71.8,No,46.9,Fail
10.8,79.7,Yes,44.7,Pass
11.0,97.1,Yes,77.1,Pass
8.0,87.9,No,48.8,Fail
10.7,72.6,No,94.3,Fail
10.9,74.7,No,36.8,Fail
7.9,60.0,Yes,93.4,Fail
15.6,74.7,Yes,71.2,Pass
11.4,70.7,No,66.5,Fail
6.4,79.8,No,59.8,Pass
12.0,62.6,No,74.0,Pass
7.1,82.8,No,67.4,Fail
12.4,98.0,Yes,84.5,Pass
13.5,73.4,No,69.7,Fail
7.5,81.0,Yes,70.3,Fail
12.9,85.4,Yes,62.5,Pass
11.2,69.0,Yes,67.1,Pass
12.5,78.4,Yes,72.6,Fail
15.7,75.2,Yes,42.3,Pass
9.3,76.5,Yes,47.8,Fail
7.7,63.4,No,79.1,Fail
7.3,75.4,Yes,70.6,Fail
7.6,82.5,No,65.2,Fail
9.8,96.8,Yes,68.3,Fail
11.0,89.4,Yes,73.2,Pass
10.8,100.0,Yes,59.9,Fail
12.5,63.5,Yes,56.3,Fail
10.0,88.1,Yes,70.9,Pass
14.4,77.8,Yes,53.3,Fail
9.2,100.0,Yes,74.1,Fail
18.2,62.9,No,42.5,Fail
11.9,62.4,Yes,83.4,Fail
7.4,66.0,No,75.1,Fail
6.8,43.1,Yes,71.8,Fail
11.4,67.1,No,82.7,Fail
9.3,63.6,No,93.0,Fail
12.1,77.3,No,83.2,Fail
11.4,80.1,Yes,40.4,Fail
9.8,100.0,Yes,48.8,Fail
7.5,89.3,Yes,58.6,Pass
5.5,66.3,No,68.4,Fail
8.7,61.5,No,75.8,Fail
12.6,82.4,No,57.1,Pass
10.6,55.2,Yes,70.8,Fail
6.3,100.0,No,56.7,Pass
10.5,92.7,No,58.8,Fail
11.2,68.0,Yes,46.9,Fail
7.3,49.3,Yes,54.2,Pass
10.5,95.3,No,47.7,Fail
10.2,73.3,No,53.4,Fail
6.6,93.6,No,83.8,Fail
